treatment,phase,event,timestamp_utc,event_relative_s,sample,node,node_count,cpu_percent,memory_used_bytes,memory_limit_bytes,net_rx_bytes,net_tx_bytes,block_read_bytes,block_write_bytes,vm_mem_available_kib,counter_reset
tablets,baseline,,2026-09-21T17:18:55.445221+00:00,,231,r-scylla1,3,12.68,2045478175,10427106853,860000000,845000000,1910000000,3970000000,3433448,False
tablets,baseline,,2026-09-21T17:18:55.445221+00:00,,231,r-scylla2,3,13.65,1979979923,10427106853,764000000,878000000,1870000000,4010000000,3433448,False
tablets,baseline,,2026-09-21T17:18:55.445221+00:00,,231,r-scylla3,3,14.67,1981053665,10427106853,734000000,862000000,1760000000,3870000000,3433448,False
tablets,baseline,,2026-09-21T17:18:58.974060+00:00,,232,r-scylla1,3,16.65,2045478175,10427106853,861000000,847000000,1910000000,3970000000,3433280,False
tablets,baseline,,2026-09-21T17:18:58.974060+00:00,,232,r-scylla2,3,16.71,1978906182,10427106853,765000000,881000000,1870000000,4010000000,3433280,False
tablets,baseline,,2026-09-21T17:18:58.974060+00:00,,232,r-scylla3,3,16.69,1981053665,10427106853,735000000,864000000,1760000000,3870000000,3433280,False
tablets,baseline,,2026-09-21T17:19:02.368677+00:00,,233,r-scylla1,3,18.58,2045478175,10427106853,862000000,850000000,1910000000,3970000000,3432564,False
tablets,baseline,,2026-09-21T17:19:02.368677+00:00,,233,r-scylla2,3,15.56,1979979923,10427106853,766000000,883000000,1870000000,4010000000,3432564,False
tablets,baseline,,2026-09-21T17:19:02.368677+00:00,,233,r-scylla3,3,14.28,1981053665,10427106853,735000000,867000000,1760000000,3870000000,3432564,False
tablets,baseline,,2026-09-21T17:19:05.774430+00:00,,234,r-scylla1,3,17.88,2045478175,10427106853,862000000,852000000,1910000000,3970000000,3431992,False
tablets,baseline,,2026-09-21T17:19:05.774430+00:00,,234,r-scylla2,3,19.92,1978906182,10427106853,766000000,885000000,1870000000,4010000000,3431992,False
tablets,baseline,,2026-09-21T17:19:05.774430+00:00,,234,r-scylla3,3,15.01,1981053665,10427106853,736000000,869000000,1760000000,3870000000,3431992,False
tablets,baseline,,2026-09-21T17:19:09.255831+00:00,,235,r-scylla1,3,18.10,2045478175,10427106853,863000000,854000000,1910000000,3970000000,3428944,False
tablets,baseline,,2026-09-21T17:19:09.255831+00:00,,235,r-scylla2,3,15.29,1978906182,10427106853,767000000,888000000,1870000000,4010000000,3428944,False
tablets,baseline,,2026-09-21T17:19:09.255831+00:00,,235,r-scylla3,3,15.77,1981053665,10427106853,737000000,872000000,1760000000,3870000000,3428944,False
tablets,baseline,,2026-09-21T17:19:12.645843+00:00,,236,r-scylla1,3,17.26,2045478175,10427106853,864000000,857000000,1910000000,3970000000,3430136,False
tablets,baseline,,2026-09-21T17:19:12.645843+00:00,,236,r-scylla2,3,16.58,1978906182,10427106853,768000000,890000000,1870000000,4010000000,3430136,False
tablets,baseline,,2026-09-21T17:19:12.645843+00:00,,236,r-scylla3,3,14.37,1981053665,10427106853,737000000,874000000,1760000000,3870000000,3430136,False
tablets,baseline,,2026-09-21T17:19:16.117453+00:00,,237,r-scylla1,3,15.77,2045478175,10427106853,864000000,859000000,1910000000,3970000000,3430600,False
tablets,baseline,,2026-09-21T17:19:16.117453+00:00,,237,r-scylla2,3,16.88,1979979923,10427106853,768000000,892000000,1870000000,4010000000,3430600,False
tablets,baseline,,2026-09-21T17:19:16.117453+00:00,,237,r-scylla3,3,19.09,1981053665,10427106853,738000000,876000000,1760000000,3870000000,3430600,False
tablets,baseline,,2026-09-21T17:19:19.622432+00:00,,238,r-scylla1,3,14.80,2045478175,10427106853,865000000,862000000,1910000000,3970000000,3430624,False
tablets,baseline,,2026-09-21T17:19:19.622432+00:00,,238,r-scylla2,3,18.66,1978906182,10427106853,769000000,895000000,1870000000,4010000000,3430624,False
tablets,baseline,,2026-09-21T17:19:19.622432+00:00,,238,r-scylla3,3,16.74,1981053665,10427106853,738000000,879000000,1760000000,3870000000,3430624,False
tablets,baseline,,2026-09-21T17:19:23.024269+00:00,,239,r-scylla1,3,14.74,2045478175,10427106853,866000000,864000000,1910000000,3970000000,3429932,False
