sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
0,2026-09-22T13:03:01.0019186+00:00,2026-09-22T13:03:01.4877084+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000000.txt
0,2026-09-22T13:03:01.0019186+00:00,2026-09-22T13:03:01.4877084+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000000.txt
0,2026-09-22T13:03:01.0019186+00:00,2026-09-22T13:03:01.4877084+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000000.txt
1,2026-09-22T13:03:03.3298705+00:00,2026-09-22T13:03:03.7490675+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000001.txt
1,2026-09-22T13:03:03.3298705+00:00,2026-09-22T13:03:03.7490675+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000001.txt
1,2026-09-22T13:03:03.3298705+00:00,2026-09-22T13:03:03.7490675+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000001.txt
2,2026-09-22T13:03:05.3831014+00:00,2026-09-22T13:03:05.8374535+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000002.txt
2,2026-09-22T13:03:05.3831014+00:00,2026-09-22T13:03:05.8374535+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000002.txt
2,2026-09-22T13:03:05.3831014+00:00,2026-09-22T13:03:05.8374535+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000002.txt
3,2026-09-22T13:03:07.4241645+00:00,2026-09-22T13:03:07.8613216+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000003.txt
3,2026-09-22T13:03:07.4241645+00:00,2026-09-22T13:03:07.8613216+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000003.txt
3,2026-09-22T13:03:07.4241645+00:00,2026-09-22T13:03:07.8613216+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000003.txt
4,2026-09-22T13:03:09.5027593+00:00,2026-09-22T13:03:09.8399311+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000004.txt
4,2026-09-22T13:03:09.5027593+00:00,2026-09-22T13:03:09.8399311+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000004.txt
4,2026-09-22T13:03:09.5027593+00:00,2026-09-22T13:03:09.8399311+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000004.txt
5,2026-09-22T13:03:11.5554269+00:00,2026-09-22T13:03:11.8944535+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000005.txt
5,2026-09-22T13:03:11.5554269+00:00,2026-09-22T13:03:11.8944535+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000005.txt
5,2026-09-22T13:03:11.5554269+00:00,2026-09-22T13:03:11.8944535+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000005.txt
6,2026-09-22T13:03:13.5991186+00:00,2026-09-22T13:03:14.0321585+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000006.txt
6,2026-09-22T13:03:13.5991186+00:00,2026-09-22T13:03:14.0321585+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000006.txt
6,2026-09-22T13:03:13.5991186+00:00,2026-09-22T13:03:14.0321585+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000006.txt
7,2026-09-22T13:03:15.6496180+00:00,2026-09-22T13:03:16.0567744+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000007.txt
7,2026-09-22T13:03:15.6496180+00:00,2026-09-22T13:03:16.0567744+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000007.txt
7,2026-09-22T13:03:15.6496180+00:00,2026-09-22T13:03:16.0567744+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000007.txt
8,2026-09-22T13:03:17.6826208+00:00,2026-09-22T13:03:18.0785809+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000008.txt
8,2026-09-22T13:03:17.6826208+00:00,2026-09-22T13:03:18.0785809+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_000008.txt
