"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T15:02:08.8829417+00:00","0","r-scylla1","3.59%","588.8MiB / 9.711GiB","179MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:08.8829417+00:00","0","r-scylla2","2.86%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:08.8829417+00:00","0","r-scylla3","3.02%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:11.6890785+00:00","1","r-scylla1","3.28%","589.3MiB / 9.711GiB","179MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:11.6890785+00:00","1","r-scylla2","3.27%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:11.6890785+00:00","1","r-scylla3","2.66%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:14.9036800+00:00","2","r-scylla1","3.41%","589MiB / 9.711GiB","179MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:14.9036800+00:00","2","r-scylla2","2.89%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:14.9036800+00:00","2","r-scylla3","2.51%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:18.0608921+00:00","3","r-scylla1","3.21%","588.8MiB / 9.711GiB","179MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:18.0608921+00:00","3","r-scylla2","2.31%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:18.0608921+00:00","3","r-scylla3","2.68%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:21.2286476+00:00","4","r-scylla1","3.34%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:21.2286476+00:00","4","r-scylla2","3.07%","515.9MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:21.2286476+00:00","4","r-scylla3","3.42%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:24.4227490+00:00","5","r-scylla1","2.96%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:24.4227490+00:00","5","r-scylla2","2.82%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:24.4227490+00:00","5","r-scylla3","3.49%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
