index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.035,2026-09-17T15:04:58.753375+00:00,read,86834,6.976,True,
1,20.0,20.142,2026-09-17T15:04:58.773490+00:00,read,89459,4.731,True,
2,40.0,40.279,2026-09-17T15:04:58.793626+00:00,read,20863,3.63,True,
3,60.0,60.405,2026-09-17T15:04:58.813753+00:00,read,14226,3.554,True,
4,80.0,80.385,2026-09-17T15:04:58.833733+00:00,read,66119,3.894,True,
5,100.0,100.229,2026-09-17T15:04:58.853576+00:00,read,99870,3.187,True,
6,120.0,120.366,2026-09-17T15:04:58.873710+00:00,read,57401,2.767,True,
7,140.0,140.264,2026-09-17T15:04:58.893610+00:00,read,75111,3.275,True,
8,160.0,160.353,2026-09-17T15:04:58.913696+00:00,read,65657,3.192,True,
9,180.0,180.227,2026-09-17T15:04:58.933572+00:00,read,73610,3.046,True,
10,200.0,200.341,2026-09-17T15:04:58.953687+00:00,read,70111,1.877,True,
11,220.0,220.381,2026-09-17T15:04:58.973726+00:00,read,32580,3.031,True,
12,240.0,240.34,2026-09-17T15:04:58.993682+00:00,read,57118,1.37,True,
13,260.0,260.251,2026-09-17T15:04:59.013597+00:00,read,70848,3.058,True,
14,280.0,280.272,2026-09-17T15:04:59.033620+00:00,read,59418,2.989,True,
15,300.0,300.207,2026-09-17T15:04:59.053554+00:00,read,83473,3.243,True,
16,320.0,320.36,2026-09-17T15:04:59.073706+00:00,read,69544,3.107,True,
17,340.0,340.168,2026-09-17T15:04:59.093517+00:00,read,16763,3.178,True,
18,360.0,360.189,2026-09-17T15:04:59.113536+00:00,read,63513,2.717,True,
19,380.0,380.236,2026-09-17T15:04:59.133584+00:00,read,23886,4.797,True,
20,400.0,400.164,2026-09-17T15:04:59.153512+00:00,read,78217,2.448,True,
21,420.0,420.18,2026-09-17T15:04:59.173527+00:00,read,89143,3.438,True,
22,440.0,440.168,2026-09-17T15:04:59.193515+00:00,read,93479,2.999,True,
23,460.0,460.197,2026-09-17T15:04:59.213545+00:00,read,24898,2.964,True,
24,480.0,480.184,2026-09-17T15:04:59.233529+00:00,read,9908,3.54,True,
25,500.0,500.283,2026-09-17T15:04:59.253711+00:00,read,47864,3.151,True,
