"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T20:23:35.3470800+00:00","0","r-scylla1","3.14%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:35.3470800+00:00","0","r-scylla2","3.39%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:35.3470800+00:00","0","r-scylla3","3.02%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:38.9610163+00:00","1","r-scylla1","2.45%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:38.9610163+00:00","1","r-scylla2","2.65%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:38.9610163+00:00","1","r-scylla3","3.06%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:42.2231374+00:00","2","r-scylla1","4.13%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:42.2231374+00:00","2","r-scylla2","4.15%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:42.2231374+00:00","2","r-scylla3","2.74%","548.1MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:45.4456525+00:00","3","r-scylla1","2.91%","561.4MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:45.4456525+00:00","3","r-scylla2","2.99%","546.9MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:45.4456525+00:00","3","r-scylla3","3.00%","547.8MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:48.7564095+00:00","4","r-scylla1","2.82%","561.4MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:48.7564095+00:00","4","r-scylla2","3.05%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:48.7564095+00:00","4","r-scylla3","3.20%","548.1MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:51.9451235+00:00","5","r-scylla1","3.55%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:51.9451235+00:00","5","r-scylla2","3.45%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:51.9451235+00:00","5","r-scylla3","3.87%","547.8MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:55.0197385+00:00","6","r-scylla1","3.21%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:55.0197385+00:00","6","r-scylla2","3.39%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:55.0197385+00:00","6","r-scylla3","3.13%","547.8MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:23:58.2569745+00:00","7","r-scylla1","5.02%","561.7MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:23:58.2569745+00:00","7","r-scylla2","4.40%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:23:58.2569745+00:00","7","r-scylla3","4.82%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:01.5260427+00:00","8","r-scylla1","3.71%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:01.5260427+00:00","8","r-scylla2","3.94%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:01.5260427+00:00","8","r-scylla3","3.75%","547.8MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:04.5714641+00:00","9","r-scylla1","3.44%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:04.5714641+00:00","9","r-scylla2","3.49%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:04.5714641+00:00","9","r-scylla3","3.53%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:07.8553195+00:00","10","r-scylla1","3.98%","561.2MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:07.8553195+00:00","10","r-scylla2","3.64%","546.9MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
