index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.107,2026-09-17T20:26:57.290513+00:00,read,80826,14.619,True,
1,20.0,20.195,2026-09-17T20:26:57.310609+00:00,write,85836,4.134,True,
2,40.0,40.206,2026-09-17T20:26:57.330624+00:00,read,40688,2.949,True,
3,60.0,60.214,2026-09-17T20:26:57.350624+00:00,read,72860,3.268,True,
4,80.0,80.218,2026-09-17T20:26:57.370629+00:00,read,602,2.881,True,
5,100.0,100.324,2026-09-17T20:26:57.390735+00:00,read,48889,3.007,True,
6,120.0,120.286,2026-09-17T20:26:57.410696+00:00,write,43030,2.638,True,
7,140.0,140.268,2026-09-17T20:26:57.430679+00:00,read,71315,2.847,True,
8,160.0,160.29,2026-09-17T20:26:57.450706+00:00,write,27372,3.068,True,
9,180.0,180.337,2026-09-17T20:26:57.470753+00:00,read,28029,3.922,True,
10,200.0,200.333,2026-09-17T20:26:57.490745+00:00,read,87439,3.606,True,
11,220.0,220.21,2026-09-17T20:26:57.510623+00:00,read,2740,3.708,True,
12,240.0,240.274,2026-09-17T20:26:57.530687+00:00,write,94791,3.116,True,
13,260.0,260.24,2026-09-17T20:26:57.550651+00:00,read,5491,3.68,True,
14,280.0,280.181,2026-09-17T20:26:57.570591+00:00,write,75650,2.756,True,
15,300.0,300.225,2026-09-17T20:26:57.590650+00:00,read,16175,3.337,True,
16,320.0,320.383,2026-09-17T20:26:57.610795+00:00,read,3238,2.837,True,
17,340.0,340.275,2026-09-17T20:26:57.630684+00:00,read,95639,2.542,True,
18,360.0,360.189,2026-09-17T20:26:57.650601+00:00,read,64797,2.378,True,
19,380.0,380.318,2026-09-17T20:26:57.670732+00:00,read,69139,3.409,True,
20,400.0,400.201,2026-09-17T20:26:57.690611+00:00,read,80032,2.607,True,
21,420.0,420.38,2026-09-17T20:26:57.710791+00:00,read,33320,2.963,True,
22,440.0,440.37,2026-09-17T20:26:57.730782+00:00,read,26448,2.056,True,
23,460.0,460.345,2026-09-17T20:26:57.750753+00:00,read,61200,2.794,True,
24,480.0,480.237,2026-09-17T20:26:57.770651+00:00,read,5507,2.645,True,
25,500.0,500.367,2026-09-17T20:26:57.790785+00:00,read,65801,4.063,True,
26,520.0,520.336,2026-09-17T20:26:57.810873+00:00,read,28190,4.231,True,
27,540.0,540.46,2026-09-17T20:26:57.830885+00:00,read,69716,4.493,True,
28,560.0,560.362,2026-09-17T20:26:57.850777+00:00,read,94795,4.042,True,
29,580.0,580.391,2026-09-17T20:26:57.870810+00:00,read,74233,4.257,True,
30,600.0,600.374,2026-09-17T20:26:57.890790+00:00,read,5014,2.606,True,
31,620.0,620.207,2026-09-17T20:26:57.910620+00:00,read,7990,2.468,True,
32,640.0,640.285,2026-09-17T20:26:57.930707+00:00,read,3957,3.08,True,
33,660.0,660.413,2026-09-17T20:26:57.950832+00:00,read,35679,3.965,True,
34,680.0,680.348,2026-09-17T20:26:57.970764+00:00,read,73269,3.675,True,
35,700.0,700.296,2026-09-17T20:26:57.990711+00:00,read,57852,3.799,True,
36,720.0,720.334,2026-09-17T20:26:58.010747+00:00,write,17197,2.907,True,
37,740.0,740.188,2026-09-17T20:26:58.030598+00:00,read,36604,3.129,True,
38,760.0,760.361,2026-09-17T20:26:58.050771+00:00,read,39471,2.712,True,
39,780.0,780.382,2026-09-17T20:26:58.070794+00:00,read,14383,2.986,True,
40,800.0,800.448,2026-09-17T20:26:58.090856+00:00,read,20894,2.721,True,
41,820.0,820.273,2026-09-17T20:26:58.110684+00:00,read,5908,2.867,True,
