index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.097,2026-09-17T20:24:33.149482+00:00,read,86834,16.254,True,
1,20.0,20.272,2026-09-17T20:24:33.169663+00:00,read,89459,4.798,True,
2,40.0,40.297,2026-09-17T20:24:33.189692+00:00,read,20863,3.971,True,
3,60.0,60.22,2026-09-17T20:24:33.209616+00:00,read,14226,4.72,True,
4,80.0,80.382,2026-09-17T20:24:33.229777+00:00,read,66119,3.425,True,
5,100.0,100.243,2026-09-17T20:24:33.249634+00:00,read,99870,3.638,True,
6,120.0,120.414,2026-09-17T20:24:33.269808+00:00,read,57401,3.603,True,
7,140.0,140.213,2026-09-17T20:24:33.289609+00:00,read,75111,3.778,True,
8,160.0,160.349,2026-09-17T20:24:33.309741+00:00,read,65657,3.272,True,
9,180.0,180.278,2026-09-17T20:24:33.329667+00:00,read,73610,2.903,True,
10,200.0,200.127,2026-09-17T20:24:33.349516+00:00,read,70111,4.347,True,
11,220.0,220.185,2026-09-17T20:24:33.369576+00:00,read,32580,3.416,True,
12,240.0,240.216,2026-09-17T20:24:33.389609+00:00,read,57118,3.429,True,
13,260.0,260.21,2026-09-17T20:24:33.409601+00:00,read,70848,3.387,True,
14,280.0,280.224,2026-09-17T20:24:33.429613+00:00,read,59418,2.798,True,
15,300.0,300.311,2026-09-17T20:24:33.449701+00:00,read,83473,3.306,True,
16,320.0,320.269,2026-09-17T20:24:33.469662+00:00,read,69544,3.369,True,
17,340.0,340.311,2026-09-17T20:24:33.489705+00:00,read,16763,4.314,True,
18,360.0,360.22,2026-09-17T20:24:33.509615+00:00,read,63513,3.917,True,
19,380.0,380.315,2026-09-17T20:24:33.529712+00:00,read,23886,3.97,True,
20,400.0,400.294,2026-09-17T20:24:33.549688+00:00,read,78217,3.68,True,
21,420.0,420.19,2026-09-17T20:24:33.569582+00:00,read,89143,3.077,True,
22,440.0,440.431,2026-09-17T20:24:33.589829+00:00,read,93479,3.997,True,
23,460.0,460.34,2026-09-17T20:24:33.609736+00:00,read,24898,4.206,True,
24,480.0,480.313,2026-09-17T20:24:33.629707+00:00,read,9908,4.045,True,
25,500.0,500.498,2026-09-17T20:24:33.649929+00:00,read,47864,3.697,True,
26,520.0,520.303,2026-09-17T20:24:33.669697+00:00,read,42512,4.464,True,
27,540.0,540.246,2026-09-17T20:24:33.689634+00:00,read,34015,2.872,True,
28,560.0,560.288,2026-09-17T20:24:33.709677+00:00,read,79675,2.925,True,
29,580.0,580.248,2026-09-17T20:24:33.729638+00:00,read,58584,2.926,True,
30,600.0,600.347,2026-09-17T20:24:33.749739+00:00,read,76968,3.56,True,
31,620.0,620.383,2026-09-17T20:24:33.769774+00:00,read,92043,3.764,True,
32,640.0,640.215,2026-09-17T20:24:33.789609+00:00,read,80320,3.701,True,
33,660.0,660.882,2026-09-17T20:24:33.810274+00:00,read,7015,3.633,True,
34,680.0,680.291,2026-09-17T20:24:33.829684+00:00,read,75545,3.648,True,
35,700.0,700.31,2026-09-17T20:24:33.849702+00:00,read,28277,3.626,True,
36,720.0,720.663,2026-09-17T20:24:33.870063+00:00,read,76162,3.628,True,
37,740.0,740.387,2026-09-17T20:24:33.889779+00:00,read,16913,3.698,True,
38,760.0,760.419,2026-09-17T20:24:33.909812+00:00,read,73063,3.901,True,
39,780.0,780.159,2026-09-17T20:24:33.929545+00:00,read,9889,3.59,True,
40,800.0,800.344,2026-09-17T20:24:33.949735+00:00,read,29112,3.702,True,
41,820.0,820.216,2026-09-17T20:24:33.969608+00:00,read,15423,4.092,True,
42,840.0,840.224,2026-09-17T20:24:33.989616+00:00,read,21833,3.651,True,
43,860.0,860.289,2026-09-17T20:24:34.009682+00:00,read,87161,3.52,True,
