"timestamp_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io"
"2026-09-18T12:40:26.0827103+00:00","0","r-scylla1","3","2.78%","1.921GiB / 9.711GiB","804MB / 580MB","1.26GB / 3.32GB"
"2026-09-18T12:40:26.0827103+00:00","0","r-scylla2","3","2.42%","1.867GiB / 9.711GiB","758MB / 601MB","1.21GB / 3.31GB"
"2026-09-18T12:40:26.0827103+00:00","0","r-scylla3","3","2.88%","1.862GiB / 9.711GiB","758MB / 603MB","1.2GB / 3.31GB"
"2026-09-18T12:40:30.1721982+00:00","1","r-scylla1","3","3.80%","1.921GiB / 9.711GiB","804MB / 581MB","1.26GB / 3.32GB"
"2026-09-18T12:40:30.1721982+00:00","1","r-scylla2","3","3.42%","1.867GiB / 9.711GiB","758MB / 602MB","1.21GB / 3.31GB"
"2026-09-18T12:40:30.1721982+00:00","1","r-scylla3","3","3.67%","1.862GiB / 9.711GiB","758MB / 603MB","1.2GB / 3.31GB"
"2026-09-18T12:40:32.9890886+00:00","2","r-scylla1","3","3.30%","1.921GiB / 9.711GiB","804MB / 581MB","1.26GB / 3.32GB"
"2026-09-18T12:40:32.9890886+00:00","2","r-scylla2","3","3.49%","1.867GiB / 9.711GiB","758MB / 602MB","1.21GB / 3.31GB"
"2026-09-18T12:40:32.9890886+00:00","2","r-scylla3","3","4.12%","1.862GiB / 9.711GiB","758MB / 603MB","1.2GB / 3.31GB"
"2026-09-18T12:40:36.2963883+00:00","3","r-scylla1","3","4.36%","1.921GiB / 9.711GiB","804MB / 581MB","1.26GB / 3.32GB"
"2026-09-18T12:40:36.2963883+00:00","3","r-scylla2","3","5.36%","1.867GiB / 9.711GiB","758MB / 602MB","1.21GB / 3.31GB"
"2026-09-18T12:40:36.2963883+00:00","3","r-scylla3","3","3.16%","1.861GiB / 9.711GiB","758MB / 603MB","1.2GB / 3.31GB"
