"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:50:03.1852746+00:00","2026-09-21T11:50:05.7883119+00:00","0","r-scylla1","4","3.93%","155.6MiB / 9.711GiB","12.8MB / 21.5MB","42.4MB / 625MB","8772132"
"2026-09-21T11:50:03.1852746+00:00","2026-09-21T11:50:05.7883119+00:00","0","r-scylla2","4","4.13%","138.4MiB / 9.711GiB","12.6MB / 19.9MB","16.2MB / 625MB","8772132"
"2026-09-21T11:50:03.1852746+00:00","2026-09-21T11:50:05.7883119+00:00","0","r-scylla3","4","3.69%","137.8MiB / 9.711GiB","13.9MB / 19.8MB","17.1MB / 626MB","8772132"
"2026-09-21T11:50:03.1852746+00:00","2026-09-21T11:50:05.7883119+00:00","0","r-scylla4","4","3.59%","140.5MiB / 9.711GiB","12.8MB / 19.5MB","18MB / 624MB","8772132"
"2026-09-21T11:50:06.9220464+00:00","2026-09-21T11:50:08.6937992+00:00","1","r-scylla1","4","2.37%","156.2MiB / 9.711GiB","12.9MB / 22.7MB","42.9MB / 625MB","8772520"
"2026-09-21T11:50:06.9220464+00:00","2026-09-21T11:50:08.6937992+00:00","1","r-scylla2","4","2.12%","138.3MiB / 9.711GiB","12.7MB / 21.1MB","16.2MB / 625MB","8772520"
"2026-09-21T11:50:06.9220464+00:00","2026-09-21T11:50:08.6937992+00:00","1","r-scylla3","4","2.36%","137.8MiB / 9.711GiB","13.9MB / 20.9MB","17.1MB / 626MB","8772520"
"2026-09-21T11:50:06.9220464+00:00","2026-09-21T11:50:08.6937992+00:00","1","r-scylla4","4","2.42%","140.5MiB / 9.711GiB","12.8MB / 21.1MB","18MB / 624MB","8772520"
"2026-09-21T11:50:09.7438780+00:00","2026-09-21T11:50:12.1205745+00:00","2","r-scylla1","4","5.01%","156.4MiB / 9.711GiB","12.9MB / 24.3MB","42.9MB / 625MB","8773256"
"2026-09-21T11:50:09.7438780+00:00","2026-09-21T11:50:12.1205745+00:00","2","r-scylla2","4","3.64%","138.1MiB / 9.711GiB","12.7MB / 22.2MB","16.2MB / 625MB","8773256"
"2026-09-21T11:50:09.7438780+00:00","2026-09-21T11:50:12.1205745+00:00","2","r-scylla3","4","5.40%","137.8MiB / 9.711GiB","14MB / 22.5MB","17.1MB / 626MB","8773256"
"2026-09-21T11:50:09.7438780+00:00","2026-09-21T11:50:12.1205745+00:00","2","r-scylla4","4","4.54%","140.3MiB / 9.711GiB","12.9MB / 22.6MB","18MB / 624MB","8773256"
"2026-09-21T11:50:13.1320044+00:00","2026-09-21T11:50:15.4229919+00:00","3","r-scylla1","4","4.17%","156.1MiB / 9.711GiB","12.9MB / 25.5MB","42.9MB / 625MB","8774040"
"2026-09-21T11:50:13.1320044+00:00","2026-09-21T11:50:15.4229919+00:00","3","r-scylla2","4","4.58%","138.1MiB / 9.711GiB","12.8MB / 23.8MB","16.2MB / 625MB","8774040"
