"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T15:34:36.7998102+00:00","2026-09-21T15:34:39.4886398+00:00","0","r-scylla1","3","4.56%","197.3MiB / 9.711GiB","12.4MB / 23.5MB","96.1MB / 648MB","8938784"
"2026-09-21T15:34:36.7998102+00:00","2026-09-21T15:34:39.4886398+00:00","0","r-scylla2","3","3.93%","169.2MiB / 9.711GiB","13.4MB / 19.3MB","54.9MB / 632MB","8938784"
"2026-09-21T15:34:36.7998102+00:00","2026-09-21T15:34:39.4886398+00:00","0","r-scylla3","3","4.28%","162.1MiB / 9.711GiB","13.8MB / 18.9MB","38.7MB / 632MB","8938784"
"2026-09-21T15:34:40.7419334+00:00","2026-09-21T15:34:43.2740614+00:00","1","r-scylla1","3","4.64%","197.3MiB / 9.711GiB","12.4MB / 25.1MB","96.6MB / 648MB","8936332"
"2026-09-21T15:34:40.7419334+00:00","2026-09-21T15:34:43.2740614+00:00","1","r-scylla2","3","3.58%","168.5MiB / 9.711GiB","13.5MB / 20.8MB","54.9MB / 632MB","8936332"
"2026-09-21T15:34:40.7419334+00:00","2026-09-21T15:34:43.2740614+00:00","1","r-scylla3","3","3.95%","161.8MiB / 9.711GiB","13.8MB / 20.4MB","38.7MB / 632MB","8936332"
"2026-09-21T15:34:44.3003836+00:00","2026-09-21T15:34:46.7950634+00:00","2","r-scylla1","3","3.74%","197.3MiB / 9.711GiB","12.4MB / 26.3MB","96.6MB / 648MB","8935240"
"2026-09-21T15:34:44.3003836+00:00","2026-09-21T15:34:46.7950634+00:00","2","r-scylla2","3","3.63%","169MiB / 9.711GiB","13.5MB / 22.4MB","54.9MB / 632MB","8935240"
"2026-09-21T15:34:44.3003836+00:00","2026-09-21T15:34:46.7950634+00:00","2","r-scylla3","3","3.98%","162.3MiB / 9.711GiB","13.9MB / 21.6MB","38.7MB / 632MB","8935240"
"2026-09-21T15:34:47.8079726+00:00","2026-09-21T15:34:50.4138316+00:00","3","r-scylla1","3","5.24%","197.7MiB / 9.711GiB","12.4MB / 27.9MB","96.6MB / 648MB","8939808"
"2026-09-21T15:34:47.8079726+00:00","2026-09-21T15:34:50.4138316+00:00","3","r-scylla2","3","5.08%","168.7MiB / 9.711GiB","13.6MB / 23.9MB","54.9MB / 632MB","8939808"
"2026-09-21T15:34:47.8079726+00:00","2026-09-21T15:34:50.4138316+00:00","3","r-scylla3","3","4.76%","161.8MiB / 9.711GiB","13.9MB / 23.1MB","38.7MB / 632MB","8939808"
"2026-09-21T15:34:51.4313767+00:00","2026-09-21T15:34:53.9884942+00:00","4","r-scylla1","3","4.07%","197.5MiB / 9.711GiB","12.5MB / 29.1MB","96.6MB / 648MB","8940392"
"2026-09-21T15:34:51.4313767+00:00","2026-09-21T15:34:53.9884942+00:00","4","r-scylla2","3","3.87%","168.5MiB / 9.711GiB","13.6MB / 24.7MB","54.9MB / 632MB","8940392"
"2026-09-21T15:34:51.4313767+00:00","2026-09-21T15:34:53.9884942+00:00","4","r-scylla3","3","3.53%","162.3MiB / 9.711GiB","14MB / 24.7MB","38.7MB / 632MB","8940392"
"2026-09-21T15:34:55.0055502+00:00","2026-09-21T15:34:57.5160031+00:00","5","r-scylla1","3","3.48%","197.6MiB / 9.711GiB","12.5MB / 30.6MB","96.6MB / 648MB","8939216"
"2026-09-21T15:34:55.0055502+00:00","2026-09-21T15:34:57.5160031+00:00","5","r-scylla2","3","3.35%","168.7MiB / 9.711GiB","13.6MB / 26.6MB","54.9MB / 632MB","8939216"
"2026-09-21T15:34:55.0055502+00:00","2026-09-21T15:34:57.5160031+00:00","5","r-scylla3","3","3.65%","162.1MiB / 9.711GiB","14MB / 25.8MB","38.7MB / 632MB","8939216"
"2026-09-21T15:34:58.5290268+00:00","2026-09-21T15:35:01.1267526+00:00","6","r-scylla1","3","3.97%","197.4MiB / 9.711GiB","12.5MB / 31.8MB","96.6MB / 648MB","8941228"
"2026-09-21T15:34:58.5290268+00:00","2026-09-21T15:35:01.1267526+00:00","6","r-scylla2","3","3.56%","168.5MiB / 9.711GiB","13.7MB / 27.8MB","54.9MB / 632MB","8941228"
"2026-09-21T15:34:58.5290268+00:00","2026-09-21T15:35:01.1267526+00:00","6","r-scylla3","3","4.97%","162.1MiB / 9.711GiB","14MB / 27MB","38.7MB / 632MB","8941228"
"2026-09-21T15:35:02.1452754+00:00","2026-09-21T15:35:04.6614353+00:00","7","r-scylla1","3","2.77%","197.6MiB / 9.711GiB","12.6MB / 33.4MB","96.6MB / 648MB","8938612"
"2026-09-21T15:35:02.1452754+00:00","2026-09-21T15:35:04.6614353+00:00","7","r-scylla2","3","2.80%","169MiB / 9.711GiB","13.7MB / 29.3MB","54.9MB / 632MB","8938612"
"2026-09-21T15:35:02.1452754+00:00","2026-09-21T15:35:04.6614353+00:00","7","r-scylla3","3","3.45%","161.8MiB / 9.711GiB","14.1MB / 28.5MB","38.7MB / 632MB","8938612"
"2026-09-21T15:35:05.6794669+00:00","2026-09-21T15:35:08.2160429+00:00","8","r-scylla1","3","3.94%","197.3MiB / 9.711GiB","12.6MB / 34.9MB","96.6MB / 648MB","8940548"
"2026-09-21T15:35:05.6794669+00:00","2026-09-21T15:35:08.2160429+00:00","8","r-scylla2","3","3.94%","168.7MiB / 9.711GiB","13.8MB / 30.8MB","54.9MB / 632MB","8940548"
"2026-09-21T15:35:05.6794669+00:00","2026-09-21T15:35:08.2160429+00:00","8","r-scylla3","3","3.48%","162.1MiB / 9.711GiB","14.1MB / 30.1MB","38.7MB / 632MB","8940548"
"2026-09-21T15:35:09.2278790+00:00","2026-09-21T15:35:11.7386482+00:00","9","r-scylla1","3","4.23%","197.3MiB / 9.711GiB","12.6MB / 36.1MB","96.6MB / 648MB","8939884"
"2026-09-21T15:35:09.2278790+00:00","2026-09-21T15:35:11.7386482+00:00","9","r-scylla2","3","4.21%","168.5MiB / 9.711GiB","13.8MB / 32MB","54.9MB / 632MB","8939884"
"2026-09-21T15:35:09.2278790+00:00","2026-09-21T15:35:11.7386482+00:00","9","r-scylla3","3","4.89%","162.1MiB / 9.711GiB","14.1MB / 31.2MB","38.7MB / 632MB","8939884"
"2026-09-21T15:35:12.7481271+00:00","2026-09-21T15:35:15.2454841+00:00","10","r-scylla1","3","3.56%","197.9MiB / 9.711GiB","12.7MB / 37.3MB","96.6MB / 648MB","8938700"
"2026-09-21T15:35:12.7481271+00:00","2026-09-21T15:35:15.2454841+00:00","10","r-scylla2","3","2.94%","168.5MiB / 9.711GiB","13.8MB / 33.5MB","54.9MB / 632MB","8938700"
"2026-09-21T15:35:12.7481271+00:00","2026-09-21T15:35:15.2454841+00:00","10","r-scylla3","3","3.64%","162.1MiB / 9.711GiB","14.2MB / 32.7MB","38.7MB / 632MB","8938700"
