index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.093,2026-09-17T13:49:21.062649+00:00,write,2141,23.843,True,
1,20.0,24.052,2026-09-17T13:49:21.086609+00:00,read,5086,12.125,True,
2,40.0,40.276,2026-09-17T13:49:21.102835+00:00,read,9107,8.746,True,
3,60.0,60.319,2026-09-17T13:49:21.122883+00:00,read,75,9.982,True,
4,80.0,80.476,2026-09-17T13:49:21.143038+00:00,read,6111,7.622,True,
5,100.0,100.217,2026-09-17T13:49:21.162779+00:00,write,5378,4.593,True,
6,120.0,120.3,2026-09-17T13:49:21.182866+00:00,read,8914,6.89,True,
7,140.0,140.432,2026-09-17T13:49:21.203001+00:00,write,3421,2.17,True,
8,160.0,160.217,2026-09-17T13:49:21.222778+00:00,read,3503,4.021,True,
9,180.0,180.304,2026-09-17T13:49:21.242869+00:00,read,6494,5.129,True,
10,200.0,200.231,2026-09-17T13:49:21.262793+00:00,write,6122,3.133,True,
11,220.0,220.273,2026-09-17T13:49:21.282834+00:00,read,686,5.512,True,
12,240.0,240.256,2026-09-17T13:49:21.302816+00:00,write,9456,2.901,True,
13,260.0,260.227,2026-09-17T13:49:21.322789+00:00,read,2021,5.435,True,
14,280.0,280.266,2026-09-17T13:49:21.342825+00:00,read,404,7.493,True,
15,300.0,300.178,2026-09-17T13:49:21.362737+00:00,read,20,4.523,True,
16,320.0,320.504,2026-09-17T13:49:21.383064+00:00,read,8642,5.203,True,
17,340.0,340.393,2026-09-17T13:49:21.402953+00:00,read,5634,3.972,True,
18,360.0,360.253,2026-09-17T13:49:21.422811+00:00,read,3602,4.829,True,
19,380.0,380.269,2026-09-17T13:49:21.442831+00:00,read,6800,5.267,True,
20,400.0,400.2,2026-09-17T13:49:21.462761+00:00,read,3281,4.371,True,
21,420.0,420.268,2026-09-17T13:49:21.482829+00:00,read,6274,5.358,True,
22,440.0,440.179,2026-09-17T13:49:21.502738+00:00,read,3961,5.64,True,
23,460.0,460.272,2026-09-17T13:49:21.522833+00:00,read,5153,6.687,True,
24,480.0,480.334,2026-09-17T13:49:21.542895+00:00,write,5019,4.018,True,
25,500.0,500.245,2026-09-17T13:49:21.562808+00:00,read,1772,5.4,True,
26,520.0,520.204,2026-09-17T13:49:21.582766+00:00,read,8075,5.549,True,
27,540.0,540.422,2026-09-17T13:49:21.602983+00:00,read,1678,4.029,True,
28,560.0,560.398,2026-09-17T13:49:21.622959+00:00,read,4571,5.257,True,
29,580.0,580.381,2026-09-17T13:49:21.642945+00:00,read,9004,3.843,True,
30,600.0,600.303,2026-09-17T13:49:21.662863+00:00,read,1613,5.413,True,
31,620.0,620.338,2026-09-17T13:49:21.682900+00:00,read,3330,5.244,True,
32,640.0,640.289,2026-09-17T13:49:21.702850+00:00,read,7730,4.64,True,
33,660.0,660.227,2026-09-17T13:49:21.722787+00:00,read,4575,4.453,True,
34,680.0,680.43,2026-09-17T13:49:21.742991+00:00,read,4933,4.648,True,
35,700.0,700.393,2026-09-17T13:49:21.762954+00:00,read,1797,4.43,True,
36,720.0,720.404,2026-09-17T13:49:21.782964+00:00,read,2611,4.377,True,
