index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.089,2026-09-16T13:32:50.814656+00:00,read,6825,17.532,True,
1,200.0,200.429,2026-09-16T13:32:51.014998+00:00,read,166,3.051,True,
2,400.0,400.407,2026-09-16T13:32:51.214980+00:00,read,6036,3.467,True,
3,600.0,600.288,2026-09-16T13:32:51.414865+00:00,read,4427,3.259,True,
4,800.0,800.354,2026-09-16T13:32:51.614926+00:00,read,7147,2.671,True,
5,1000.0,1000.447,2026-09-16T13:32:51.815029+00:00,read,6112,3.524,True,
6,1200.0,1200.431,2026-09-16T13:32:52.015004+00:00,read,7093,3.113,True,
7,1400.0,1400.427,2026-09-16T13:32:52.214999+00:00,read,9209,2.468,True,
8,1600.0,1600.468,2026-09-16T13:32:52.415039+00:00,read,2856,2.942,True,
9,1800.0,1800.372,2026-09-16T13:32:52.611977+00:00,read,9063,3.722,True,
