treatment,line,event,phase,host_utc,node4_container_started_utc
tablets,1,phase_start,baseline,2026-09-21T17:18:52.6607011+00:00,
tablets,2,phase_end,baseline,2026-09-21T17:21:00.6053479+00:00,
tablets,3,phase_start,scaleout,2026-09-21T17:39:57.6641662+00:00,
tablets,4,join_command_start,scaleout,2026-09-21T17:41:59.0830105+00:00,
tablets,5,join_command_end,scaleout,2026-09-21T17:42:00.6672307+00:00,
tablets,6,node4_started,scaleout,2026-09-21T17:42:00.6951536+00:00,2026-09-21T17:42:00.161127542Z
tablets,7,phase_end,scaleout,2026-09-21T17:55:05.5770264+00:00,
tablets,8,phase_start,four_node,2026-09-21T18:07:46.6981409+00:00,
tablets,9,phase_end,four_node,2026-09-21T18:09:53.5306595+00:00,
tablets,10,phase_start,scalein,2026-09-21T18:34:09.9467163+00:00,
tablets,11,decommission_command_start,scalein,2026-09-21T18:36:10.7587235+00:00,
tablets,12,decommission_command_end,scalein,2026-09-21T18:36:26.3030968+00:00,
tablets,13,node4_absent,scalein,2026-09-21T18:38:40.7204928+00:00,
tablets,14,phase_end,scalein,2026-09-21T18:49:16.6718380+00:00,
tablets,15,phase_start,final_three,2026-09-21T18:58:30.1406583+00:00,
tablets,16,phase_end,final_three,2026-09-21T19:00:37.3375165+00:00,
vnodes,1,phase_start,baseline,2026-09-22T13:14:09.8190288+00:00,
vnodes,2,phase_end,baseline,2026-09-22T13:16:17.4086862+00:00,
vnodes,3,phase_start,scaleout,2026-09-22T14:15:51.6835371+00:00,
vnodes,4,join_command_start,scaleout,2026-09-22T14:17:53.5994238+00:00,
vnodes,5,join_command_end,scaleout,2026-09-22T14:17:55.0858153+00:00,
vnodes,6,node4_started,scaleout,2026-09-22T14:17:55.1014030+00:00,2026-09-22T14:17:54.347355762Z
vnodes,7,phase_end,scaleout,2026-09-22T14:31:00.4750696+00:00,
vnodes,8,cleanup_node1_start,post_scaleout_maintenance,2026-09-22T14:44:28.7300317+00:00,
vnodes,9,cleanup_node1_end,post_scaleout_maintenance,2026-09-22T14:44:33.1276683+00:00,
vnodes,10,cleanup_node2_start,post_scaleout_maintenance,2026-09-22T14:46:11.8958193+00:00,
vnodes,11,cleanup_node2_end,post_scaleout_maintenance,2026-09-22T14:46:14.8346069+00:00,
vnodes,12,cleanup_node3_start,post_scaleout_maintenance,2026-09-22T14:47:26.6275627+00:00,
vnodes,13,cleanup_node3_end,post_scaleout_maintenance,2026-09-22T14:47:29.5096863+00:00,
vnodes,14,phase_start,four_node,2026-09-22T14:56:41.7953207+00:00,
vnodes,15,phase_end,four_node,2026-09-22T14:58:49.7446592+00:00,
vnodes,16,phase_start,scalein,2026-09-22T15:24:41.7723540+00:00,
vnodes,17,decommission_command_start,scalein,2026-09-22T15:26:43.9370778+00:00,
vnodes,18,decommission_command_end,scalein,2026-09-22T15:26:53.8687436+00:00,
vnodes,19,node4_absent,scalein,2026-09-22T15:32:40.7449322+00:00,
vnodes,20,phase_end,scalein,2026-09-22T15:39:51.8636597+00:00,
vnodes,21,phase_start,final_three,2026-09-22T16:01:22.1520243+00:00,
vnodes,22,phase_end,final_three,2026-09-22T16:03:31.5841025+00:00,
