treatment,phase,requests,reads,writes,other_operations,failures,bad_indices,bad_row_ids,first_request_utc,last_completion_utc,request_span_s,observed_rate_per_s,schedule_lag_mean_ms,schedule_lag_p50_ms,schedule_lag_p95_ms,schedule_lag_p99_ms,schedule_lag_max_ms,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,read_max_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,write_max_ms
tablets,baseline,60000,48170,11830,0,0,0,0,2026-09-21T17:18:53.935076+00:00,2026-09-21T17:20:53.938924+00:00,120.003848,499.983967,40.873,10.790,189.806,274.276,334.087,1.809,1.605,3.033,3.989,81.015,1.413,1.284,2.410,3.098,15.992
tablets,scaleout,450000,360305,89695,0,0,0,0,2026-09-21T17:39:58.868702+00:00,2026-09-21T17:54:59.386282+00:00,900.517580,499.712621,3434.421,301.709,21876.029,22753.455,23069.680,1.950,1.689,3.493,4.840,86.981,1.458,1.241,2.604,3.417,49.908
tablets,four_node,60000,48012,11988,0,0,0,0,2026-09-21T18:07:47.640647+00:00,2026-09-21T18:09:47.647771+00:00,120.007124,499.970318,76.403,35.855,283.465,400.118,496.004,1.896,1.784,3.213,4.015,22.190,1.474,1.365,2.461,3.065,15.533
tablets,scalein,450000,360268,89732,0,0,0,0,2026-09-21T18:34:10.646616+00:00,2026-09-21T18:49:10.573878+00:00,899.927262,500.040413,101.411,0.164,113.867,3282.254,4424.636,1.622,1.502,2.771,3.764,94.928,1.202,1.118,2.024,2.729,40.014
tablets,final_three,60000,48084,11916,0,0,0,0,2026-09-21T18:58:31.405703+00:00,2026-09-21T19:00:31.393479+00:00,119.987776,500.050939,97.598,23.896,522.946,668.884,770.430,1.769,1.603,3.035,3.830,26.363,1.402,1.250,2.385,2.918,6.866
vnodes,baseline,60000,48170,11830,0,0,0,0,2026-09-22T13:14:10.812781+00:00,2026-09-22T13:16:10.805176+00:00,119.992395,500.031690,1.043,0.114,5.862,20.515,42.423,1.362,1.290,2.240,2.832,17.455,1.098,1.056,1.800,2.293,13.284
vnodes,scaleout,450000,360305,89695,0,0,0,0,2026-09-22T14:15:53.412514+00:00,2026-09-22T14:30:53.432168+00:00,900.019654,499.989081,337.301,0.232,1148.079,7965.262,8809.894,1.655,1.506,2.830,3.826,408.514,1.228,1.145,2.134,2.792,45.008
vnodes,four_node,60000,48012,11988,0,0,0,0,2026-09-22T14:56:42.912285+00:00,2026-09-22T14:58:42.901513+00:00,119.989228,500.044887,4.652,0.160,24.531,64.792,209.841,1.584,1.480,2.823,3.712,60.888,1.150,1.098,1.941,2.448,5.018
vnodes,scalein,450000,360268,89732,0,0,0,0,2026-09-22T15:24:43.778411+00:00,2026-09-22T15:39:43.892008+00:00,900.113597,499.936899,2354.328,119.261,21029.184,23346.144,23654.059,1.954,1.709,3.425,4.709,166.054,1.385,1.214,2.470,3.110,18.682
vnodes,final_three,60000,48084,11916,0,0,0,0,2026-09-22T16:01:23.887328+00:00,2026-09-22T16:03:23.869873+00:00,119.982545,500.072740,93.778,17.288,455.288,692.649,758.794,1.826,1.698,3.153,4.005,20.852,1.355,1.233,2.323,2.896,16.738
