treatment,check,value,pass
tablets,phase_start_count,5,True
tablets,phase_end_count,5,True
vnodes,phase_start_count,5,True
vnodes,phase_end_count,5,True
tablets,baseline_measured_exists,True,True
tablets,scaleout_measured_exists,True,True
tablets,four_node_measured_exists,True,True
tablets,scalein_measured_exists,True,True
tablets,final_three_measured_exists,True,True
vnodes,baseline_measured_exists,True,True
vnodes,scaleout_measured_exists,True,True
vnodes,four_node_measured_exists,True,True
vnodes,scalein_measured_exists,True,True
vnodes,final_three_measured_exists,True,True
tablets,docker_rows_in_phases,2280,True
vnodes,docker_rows_in_phases,2340,True
tablets,stream_series_rows,15516,True
vnodes,stream_series_rows,15936,True
tablets,snapshot_index_rows,6947,True
tablets,incomplete_size_snapshots,9,True
vnodes,ring_index_rows,5358,True
vnodes,ring_bad_file_hashes,0,True
vnodes,ring_bad_address_counts,0,True
