treatment,phase,event,timestamp_utc,event_relative_s,sample,node,node_count,direction,shards,counter_bytes,increment_bytes,counter_reset
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:53.364361+00:00,,845,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:54.364492+00:00,,846,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:55.364869+00:00,,847,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:56.365773+00:00,,848,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:57.365945+00:00,,849,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:58.366125+00:00,,850,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:18:59.366407+00:00,,851,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:00.366590+00:00,,852,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:01.366689+00:00,,853,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:02.366960+00:00,,854,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:03.367125+00:00,,855,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:04.367246+00:00,,856,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:05.367420+00:00,,857,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:06.367556+00:00,,858,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:07.367805+00:00,,859,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:08.368055+00:00,,860,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:09.368208+00:00,,861,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:10.368330+00:00,,862,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:11.368430+00:00,,863,r-scylla2,3,outgoing,2,0,0,False
